imie nazwisko p³eæ data_ur wzrost
Karolina Kowalski k 1964-03-01 178
Jan Kuszczak m 2008-04-05 185
Henryk Litawa m 1970-08-17 161
Horacy Malinowski m 2008-07-12 183
Hubert Oktaba m 2008-12-09 155
Krzysztof Dudek m 1985-03-07 170
Janina Kowalska k 1970-11-06 197
Oktawia Houszka k 1985-01-25 178
Oktawian Szadok m 1986-07-22 164
Jacek Buklarewicz m 1968-04-18 205
Joanna Szurko k 1967-09-30 197
Beata Sienkiewicz k 1965-12-08 174
Agata Stawarska k 1973-05-15 177
Agnieszka Wiska k 1971-01-14 175
Katarzyna Parusel k 2000-05-22 198
Eulalia Gerber k 1978-08-11 189
Walenty Plewa m 1969-06-29 160
Weronika Kubina k 1967-02-11 189
Sylwestra Kowalska k 1989-06-18 174
Kamila Chrobot k 1978-09-28 160
Emilia Geisler k 2009-06-07 200
Piotr Deszka m 1958-01-08 158
Jan Raczycki m 2005-08-10 168
Tomasz Czerska m 1963-01-29 177
Maciej Walczyk m 1972-01-09 163
Tomasz Michalec m 2008-05-06 160
Maciej Martyniak m 1963-06-13 187
